time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.2027,MARCH,FR,-69.635,-67.671,-110.365,-112.547
0.2027,MARCH,FL,-121.473,-113.118,-58.527,-66.725
0.2027,MARCH,RR,-58.527,-67.219,-121.473,-112.830
0.2027,MARCH,RL,-110.365,-112.470,-69.635,-67.457
0.4019,MARCH,FR,-69.635,-68.035,-110.365,-111.871
0.4019,MARCH,FL,-110.365,-113.079,-69.635,-67.516
0.4019,MARCH,RR,-69.635,-67.641,-110.365,-112.850
0.4019,MARCH,RL,-110.365,-112.511,-69.635,-67.373
0.6063,MARCH,FR,-69.635,-56.485,-110.365,-123.160
0.6063,MARCH,FL,-110.365,-113.373,-69.635,-66.725
0.6063,MARCH,RR,-69.635,-67.329,-110.365,-112.990
0.6063,MARCH,RL,-110.365,-123.360,-69.635,-56.861
0.8098,MARCH,FR,-69.635,-67.677,-110.365,-112.435
0.8098,MARCH,FL,-121.473,-113.166,-58.527,-66.975
0.8098,MARCH,RR,-58.527,-67.256,-121.473,-112.830
0.8098,MARCH,RL,-110.365,-112.319,-69.635,-67.364
1.0176,MARCH,FR,-69.635,-67.907,-110.365,-111.981
1.0176,MARCH,FL,-110.365,-113.026,-69.635,-67.454
1.0176,MARCH,RR,-69.635,-67.449,-110.365,-112.811
1.0176,MARCH,RL,-110.365,-112.209,-69.635,-67.573
1.2240,MARCH,FR,-69.635,-56.480,-110.365,-123.105
1.2240,MARCH,FL,-110.365,-113.359,-69.635,-66.736
1.2240,MARCH,RR,-69.635,-67.224,-110.365,-112.963
1.2240,MARCH,RL,-110.365,-122.991,-69.635,-56.889
1.4261,MARCH,FR,-69.635,-67.531,-110.365,-111.998
1.4261,MARCH,FL,-121.473,-113.161,-58.527,-66.998
1.4261,MARCH,RR,-58.527,-67.260,-121.473,-112.896
1.4261,MARCH,RL,-110.365,-112.365,-69.635,-67.394
1.6309,MARCH,FR,-69.635,-67.856,-110.365,-112.017
1.6309,MARCH,FL,-110.365,-113.131,-69.635,-67.344
1.6309,MARCH,RR,-69.635,-67.386,-110.365,-112.894
1.6309,MARCH,RL,-110.365,-112.312,-69.635,-67.421
1.8425,MARCH,FR,-69.635,-56.524,-110.365,-123.185
1.8425,MARCH,FL,-110.365,-113.515,-69.635,-66.745
1.8425,MARCH,RR,-69.635,-67.263,-110.365,-112.986
1.8425,MARCH,RL,-110.365,-123.358,-69.635,-56.820
2.0422,WALK,FR,-68.071,-67.939,-108.753,-112.431
2.0422,WALK,FL,-110.519,-113.169,-58.346,-66.972
2.0422,WALK,RR,-69.481,-67.267,-121.654,-112.811
2.0422,WALK,RL,-111.929,-112.220,-71.247,-67.329
2.2626,WALK,FR,-79.474,-74.264,-118.600,-116.101
2.2626,WALK,FL,-116.798,-121.090,-76.997,-77.924
2.2626,WALK,RR,-63.202,-58.742,-103.003,-102.481
2.2626,WALK,RL,-100.526,-104.397,-61.400,-61.720
2.4615,WALK,FR,-59.682,-58.235,-97.934,-111.726
2.4615,WALK,FL,-106.524,-112.290,-66.061,-65.245
2.4615,WALK,RR,-73.476,-68.465,-113.939,-114.325
2.4615,WALK,RL,-120.318,-122.041,-82.066,-68.416
2.6648,WALK,FR,-68.071,-64.115,-108.753,-108.134
2.6648,WALK,FL,-110.519,-100.744,-58.346,-56.803
2.6648,WALK,RR,-69.481,-80.031,-121.654,-122.751
2.6648,WALK,RL,-111.929,-115.909,-71.247,-72.522
2.8699,WALK,FR,-79.474,-74.305,-118.600,-116.689
2.8699,WALK,FL,-116.798,-121.257,-76.997,-78.110
2.8699,WALK,RR,-63.202,-58.701,-103.003,-102.140
2.8699,WALK,RL,-100.526,-104.983,-61.400,-62.645
3.0767,WALK,FR,-59.682,-58.015,-97.934,-111.094
3.0767,WALK,FL,-106.524,-112.230,-66.061,-65.671
3.0767,WALK,RR,-73.476,-68.476,-113.939,-114.278
3.0767,WALK,RL,-120.318,-122.468,-82.066,-68.676
3.2808,WALK,FR,-68.071,-64.058,-108.753,-107.836
3.2808,WALK,FL,-110.519,-100.686,-58.346,-56.904
3.2808,WALK,RR,-69.481,-79.985,-121.654,-122.735
3.2808,WALK,RL,-111.929,-116.265,-71.247,-73.211
3.4852,WALK,FR,-79.474,-74.360,-118.600,-116.961
3.4852,WALK,FL,-116.798,-121.415,-76.997,-78.475
3.4852,WALK,RR,-63.202,-58.690,-103.003,-101.819
3.4852,WALK,RL,-100.526,-105.380,-61.400,-62.856
3.6970,WALK,FR,-59.682,-58.205,-97.934,-111.608
3.6970,WALK,FL,-106.524,-112.299,-66.061,-65.641
3.6970,WALK,RR,-73.476,-68.430,-113.939,-114.108
3.6970,WALK,RL,-120.318,-121.995,-82.066,-68.097
3.8967,WALK,FR,-68.071,-64.065,-108.753,-107.200
3.8967,WALK,FL,-110.519,-100.705,-58.346,-56.977
3.8967,WALK,RR,-69.481,-79.971,-121.654,-122.779
3.8967,WALK,RL,-111.929,-116.345,-71.247,-72.599
4.0983,WALK,FR,-79.474,-74.326,-118.600,-116.978
4.0983,WALK,FL,-116.798,-121.340,-76.997,-78.420
4.0983,WALK,RR,-63.202,-58.693,-103.003,-101.959
4.0983,WALK,RL,-100.526,-105.391,-61.400,-62.972
4.3032,WALK,FR,-59.682,-58.157,-97.934,-111.405
4.3032,WALK,FL,-106.524,-112.263,-66.061,-65.651
4.3032,WALK,RR,-73.476,-68.407,-113.939,-114.078
4.3032,WALK,RL,-120.318,-122.245,-82.066,-68.095
4.5054,WALK,FR,-68.071,-64.030,-108.753,-107.517
4.5054,WALK,FL,-110.519,-100.654,-58.346,-56.858
4.5054,WALK,RR,-69.481,-79.919,-121.654,-122.751
4.5054,WALK,RL,-111.929,-116.320,-71.247,-72.991
4.7102,WALK,FR,-77.375,-74.058,-117.084,-116.881
4.7102,WALK,FL,-115.591,-120.871,-75.454,-78.229
4.7102,WALK,RR,-64.409,-59.138,-104.546,-102.668
4.7102,WALK,RL,-102.625,-105.586,-62.916,-62.629
4.9171,WALK,FR,-65.167,-61.028,-105.472,-115.230
4.9171,WALK,FL,-108.783,-113.035,-68.100,-65.775
4.9171,WALK,RR,-71.217,-67.891,-111.900,-113.638
4.9171,WALK,RL,-114.833,-120.025,-74.528,-65.081
5.1225,WALK,FR,-69.287,-66.088,-110.015,-110.754
5.1225,WALK,FL,-115.096,-110.248,-62.456,-64.157
5.1225,WALK,RR,-64.904,-70.470,-117.544,-115.945
5.1225,WALK,RL,-110.713,-113.881,-69.985,-72.006
5.3292,MARCH,FR,-69.635,-68.287,-110.365,-112.140
5.3292,MARCH,FL,-110.365,-113.177,-69.635,-67.296
5.3292,MARCH,RR,-69.635,-67.526,-110.365,-112.963
5.3292,MARCH,RL,-110.365,-112.142,-69.635,-67.375
5.5411,MARCH,FR,-69.635,-56.449,-110.365,-123.168
5.5411,MARCH,FL,-110.365,-113.535,-69.635,-66.825
5.5411,MARCH,RR,-69.635,-67.237,-110.365,-113.009
5.5411,MARCH,RL,-110.365,-123.840,-69.635,-56.905
5.7461,MARCH,FR,-69.635,-67.990,-110.365,-112.578
5.7461,MARCH,FL,-121.473,-113.153,-58.527,-66.929
5.7461,MARCH,RR,-58.527,-67.265,-121.473,-112.819
5.7461,MARCH,RL,-110.365,-112.332,-69.635,-67.334
5.9503,MARCH,FR,-69.635,-67.963,-110.365,-112.078
5.9503,MARCH,FL,-110.365,-113.076,-69.635,-67.468
5.9503,MARCH,RR,-69.635,-67.446,-110.365,-112.860
5.9503,MARCH,RL,-110.365,-112.186,-69.635,-67.504
6.1550,MARCH,FR,-69.635,-56.542,-110.365,-123.132
6.1550,MARCH,FL,-110.365,-113.513,-69.635,-66.725
6.1550,MARCH,RR,-69.635,-67.270,-110.365,-112.998
6.1550,MARCH,RL,-110.365,-123.319,-69.635,-56.859
6.3655,MARCH,FR,-69.635,-67.586,-110.365,-112.089
6.3655,MARCH,FL,-121.473,-113.145,-58.527,-66.965
6.3655,MARCH,RR,-58.527,-67.251,-121.473,-112.855
6.3655,MARCH,RL,-110.365,-112.351,-69.635,-67.391
6.5679,MARCH,FR,-69.635,-67.801,-110.365,-112.061
6.5679,MARCH,FL,-110.365,-113.084,-69.635,-67.358
6.5679,MARCH,RR,-69.635,-67.416,-110.365,-112.888
6.5679,MARCH,RL,-110.365,-112.131,-69.635,-67.493
6.7835,MARCH,FR,-69.635,-56.535,-110.365,-123.121
6.7835,MARCH,FL,-110.365,-113.524,-69.635,-66.780
6.7835,MARCH,RR,-69.635,-67.267,-110.365,-113.004
6.7835,MARCH,RL,-110.365,-123.338,-69.635,-56.790
6.9918,MARCH,FR,-69.635,-67.581,-110.365,-112.132
6.9918,MARCH,FL,-121.473,-113.169,-58.527,-66.984
6.9918,MARCH,RR,-58.527,-67.254,-121.473,-112.846
6.9918,MARCH,RL,-110.365,-112.228,-69.635,-67.384
