timestamp_s,frame,E_x_mm,E_y_mm
0.1082,13,-3.816,-208.177
0.1831,22,-1.867,-208.719
0.2248,27,-3.403,-208.582
0.2498,30,-4.223,-208.025
0.2663,32,-3.683,-208.865
0.2747,33,-4.223,-208.025
0.3080,37,-3.403,-208.582
0.3163,38,-3.403,-208.582
0.3330,40,-3.663,-207.743
0.3413,41,-3.403,-208.582
0.3496,42,-3.256,-207.893
0.3579,43,-3.816,-208.177
0.3912,47,-3.256,-207.893
0.3996,48,-3.403,-208.582
0.4162,50,-2.842,-208.297
0.4328,52,-3.663,-207.743
0.4494,54,-3.403,-208.582
0.4828,58,-3.256,-207.893
0.4994,60,-1.867,-208.719
0.5160,62,-3.813,-208.432
0.5327,64,-3.403,-208.582
0.5493,66,-3.253,-208.454
0.5910,71,-3.256,-207.893
0.5993,72,-3.256,-207.893
0.6077,73,-3.256,-207.893
0.6242,75,-3.256,-207.893
0.6409,77,-3.683,-208.865
0.6659,80,-3.816,-208.177
0.6909,83,-3.256,-207.893
0.6991,84,-3.403,-208.582
0.7074,85,-3.403,-208.582
0.7158,86,-3.403,-208.582
0.7241,87,-3.683,-208.865
0.7574,91,-3.687,-208.303
0.7658,92,-3.687,-208.303
0.7823,94,-3.403,-208.582
0.7990,96,-3.403,-208.582
0.8157,98,-3.683,-208.865
0.8490,102,-3.403,-208.582
0.8573,103,-3.403,-208.582
0.8739,105,-3.403,-208.582
0.8822,106,-3.403,-208.582
0.8989,108,-3.683,-208.865
0.9406,113,-3.403,-208.582
0.9488,114,-3.403,-208.582
0.9571,115,-3.683,-208.865
0.9738,117,-3.683,-208.865
0.9988,120,-3.256,-207.893
1.0320,124,-3.256,-207.893
1.0487,126,-3.403,-208.582
1.0653,128,-3.403,-208.582
1.0904,131,-4.068,-203.383
1.1152,134,-4.580,-193.205
1.1319,136,-3.507,-189.356
1.1485,138,-4.503,-188.295
1.1652,140,-4.029,-189.640
1.1818,142,-1.941,-194.699
1.2151,146,-2.168,-207.619
1.2235,147,-3.402,-208.887
1.2317,148,-4.366,-209.864
1.2484,150,-5.068,-210.586
1.2568,151,-4.095,-210.450
1.2650,152,-5.481,-209.618
1.3066,157,-5.360,-209.467
1.3234,159,-4.371,-208.768
1.3398,161,-3.814,-208.483
1.3483,162,-3.664,-208.050
1.3649,164,-4.349,-207.901
1.3899,167,-3.788,-208.458
1.4064,169,-4.753,-208.026
1.4148,170,-2.681,-207.362
1.4315,172,-2.825,-208.045
1.4481,174,-3.791,-207.619
1.4565,175,-4.349,-207.901
1.4814,178,-4.783,-208.308
1.4981,180,-3.816,-208.177
1.5147,182,-3.670,-207.212
1.5313,184,-4.777,-209.991
1.5480,186,-3.929,-210.289
