time,phase,leg,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.2028,MARCH,FR,-69.635,-67.677,-110.365,-112.311
0.2028,MARCH,FL,-121.473,-113.123,-58.527,-66.748
0.2028,MARCH,RR,-58.527,-67.207,-121.473,-112.816
0.2028,MARCH,RL,-110.365,-112.439,-69.635,-67.520
0.4080,MARCH,FR,-69.635,-68.007,-110.365,-112.130
0.4080,MARCH,FL,-110.365,-113.001,-69.635,-67.420
0.4080,MARCH,RR,-69.635,-67.474,-110.365,-112.858
0.4080,MARCH,RL,-110.365,-111.626,-69.635,-67.483
0.6127,MARCH,FR,-69.635,-56.395,-110.365,-123.291
0.6127,MARCH,FL,-110.365,-113.531,-69.635,-66.725
0.6127,MARCH,RR,-69.635,-67.235,-110.365,-112.919
0.6127,MARCH,RL,-110.365,-123.530,-69.635,-56.699
0.8196,MARCH,FR,-69.635,-68.719,-110.365,-112.612
0.8196,MARCH,FL,-121.473,-113.136,-58.527,-66.956
0.8196,MARCH,RR,-58.527,-67.304,-121.473,-112.805
0.8196,MARCH,RL,-110.365,-112.422,-69.635,-67.353
1.0252,MARCH,FR,-69.635,-68.031,-110.365,-111.998
1.0252,MARCH,FL,-110.365,-113.136,-69.635,-67.454
1.0252,MARCH,RR,-69.635,-67.394,-110.365,-112.940
1.0252,MARCH,RL,-110.365,-112.475,-69.635,-67.336
1.2293,MARCH,FR,-69.635,-56.411,-110.365,-123.278
1.2293,MARCH,FL,-110.365,-113.556,-69.635,-66.720
1.2293,MARCH,RR,-69.635,-67.297,-110.365,-112.954
1.2293,MARCH,RL,-110.365,-123.442,-69.635,-56.751
1.4337,MARCH,FR,-69.635,-68.466,-110.365,-112.534
1.4337,MARCH,FL,-121.473,-113.145,-58.527,-66.938
1.4337,MARCH,RR,-58.527,-67.380,-121.473,-112.830
1.4337,MARCH,RL,-110.365,-112.415,-69.635,-67.364
1.6366,MARCH,FR,-69.635,-68.026,-110.365,-112.061
