time_s,phase,leg,x_setpoint_mm,y_setpoint_mm,z_setpoint_mm,x_actual_mm,y_actual_mm,z_actual_mm,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.0208,WARMUP,FR,179.375,-177.0,-220.0,178.271,-177.0,-248.701,5.042,5.065,-0.015,0.0
0.0208,WARMUP,FL,179.375,177.0,-220.0,178.271,177.0,-248.701,5.042,5.065,-0.015,0.0
0.0208,WARMUP,RR,-179.375,-177.0,-220.0,-180.483,-177.0,-248.273,5.043,5.067,-0.018,-0.001
0.0208,WARMUP,RL,-179.375,177.0,-220.0,-180.483,177.0,-248.273,5.043,5.067,-0.018,-0.002
0.0417,WARMUP,FR,179.375,-177.0,-220.0,176.847,-177.0,-247.5,5.126,5.105,-0.164,-0.149
0.0417,WARMUP,FL,179.375,177.0,-220.0,176.847,177.0,-247.5,5.126,5.105,-0.165,-0.15
0.0417,WARMUP,RR,-179.375,-177.0,-220.0,-181.902,-177.0,-247.511,5.128,5.106,-0.167,-0.152
0.0417,WARMUP,RL,-179.375,177.0,-220.0,-181.902,177.0,-247.511,5.128,5.106,-0.167,-0.152
0.0625,WARMUP,FR,179.375,-177.0,-220.0,176.852,-177.0,-246.657,5.182,5.164,-0.263,-0.229
0.0625,WARMUP,FL,179.375,177.0,-220.0,176.852,177.0,-246.657,5.182,5.164,-0.263,-0.229
0.0625,WARMUP,RR,-179.375,-177.0,-220.0,-181.898,-177.0,-246.654,5.184,5.166,-0.267,-0.233
0.0625,WARMUP,RL,-179.375,177.0,-220.0,-181.898,177.0,-246.654,5.184,5.166,-0.267,-0.233
0.0833,WARMUP,FR,179.375,-177.0,-220.0,178.348,-177.001,-246.227,5.27,5.258,-0.419,-0.357
0.0833,WARMUP,FL,179.375,177.0,-220.0,178.348,176.999,-246.228,5.27,5.257,-0.418,-0.356
0.0833,WARMUP,RR,-179.375,-177.0,-220.0,-180.39,-177.001,-249.183,5.367,5.064,-0.591,-0.665
0.0833,WARMUP,RL,-179.375,177.0,-220.0,-180.39,176.999,-249.183,5.365,5.062,-0.587,-0.661
0.1042,WARMUP,FR,179.375,-177.0,-220.0,175.302,-177.0,-249.064,5.031,5.21,0.004,0.104
0.1042,WARMUP,FL,179.375,177.0,-220.0,175.375,177.0,-249.07,5.166,5.311,-0.234,-0.113
0.1042,WARMUP,RR,-179.375,-177.0,-220.0,-182.027,-176.999,-249.081,5.698,5.57,-1.175,-1.053
0.1042,WARMUP,RL,-179.375,177.0,-220.0,-182.099,177.001,-249.075,5.599,5.505,-0.999,-0.887
0.1208,WARMUP,FR,179.375,-177.0,-220.0,176.425,-177.0,-249.08,4.878,4.963,0.274,0.277
0.1208,WARMUP,FL,179.375,177.0,-220.0,176.582,177.0,-249.093,5.129,5.156,-0.169,-0.126
0.1208,WARMUP,RR,-179.375,-177.0,-220.0,-181.709,-177.0,-249.058,6.069,5.931,-1.829,-1.606
0.1208,WARMUP,RL,-179.375,177.0,-220.0,-181.972,177.0,-249.042,5.826,5.75,-1.401,-1.213
0.1417,WARMUP,FR,179.375,-177.0,-220.0,176.718,-177.001,-249.072,4.985,5.01,0.085,0.085
0.1417,WARMUP,FL,179.375,177.0,-220.0,176.909,176.999,-249.085,5.162,5.15,-0.227,-0.196
