step,time_ms,target_x_mm,target_y_mm,theta_A_deg,theta_B_deg,motor_A_shaft_deg,motor_B_shaft_deg,motor_A_shaft_deg_x100,motor_B_shaft_deg_x100
0,0.0,60.0,-200.0,-96.50955651986568,-18.93695079707621,-772.0764521589255,-151.4956063766097,-77207,-15149
1,5.0,59.98684100849073,-199.37172740349928,-96.63728815451064,-18.630112532226843,-773.0983052360851,-149.04090025781474,-77309,-14904
2,10.0,59.9473698059315,-198.74373038812402,-96.77428087274396,-18.329770531509283,-774.1942469819517,-146.63816425207426,-77419,-14663
3,15.0,59.88160370569629,-198.1162844141206,-96.9204813578051,-18.03610992064499,-775.3638508624408,-144.28887936515991,-77536,-14428
4,20.0,59.789571554970266,-197.48966470003054,-97.07583374845267,-17.74931888203572,-776.6066699876213,-141.99455105628576,-77660,-14199
5,25.0,59.6713137220964,-196.8641461019704,-97.24027974494173,-17.469588598978515,-777.9222379595338,-139.75670879182812,-77792,-13975
6,30.0,59.526882078868674,-196.24000299307087,-97.41375870973,-17.197113187377028,-779.31006967784,-137.57690549901622,-77931,-13757
7,35.0,59.3563399777793,-195.61750914312765,-97.59620776248688,-16.93208961429416,-780.7696620998951,-135.45671691435328,-78076,-13545
8,40.0,59.1597622242303,-194.99693759851692,-97.78756186901418,-16.6747176026729,-782.3004949521135,-133.3977408213832,-78230,-13339
9,45.0,58.93723504372132,-194.37856056242828,-97.9877539237185,-16.425199521533514,-783.902031389748,-131.4015961722681,-78390,-13140
10,50.0,58.68885604402834,-193.76264927546723,-98.19671482530889,-16.183740260938958,-785.5737186024711,-129.46992208751166,-78557,-12946
11,55.0,58.414734172389615,-193.14947389668032,-98.41437354542279,-15.950547091008742,-787.3149883633823,-127.60437672806994,-78731,-12760
12,60.0,58.114989667717865,-192.53930338505435,-98.64065718991327,-15.72582950425129,-789.1252575193062,-125.80663603401032,-78912,-12580
13,65.0,57.78975400785949,-191.93240538154203,-98.87549105255884,-15.509799040481168,-791.0039284204707,-124.07839232384934,-79100,-12407
14,70.0,57.439169851924035,-191.32904609166584,-99.11879866098369,-15.302669093586994,-792.9503892878695,-122.42135274869595,-79295,-12242
15,75.0,57.06339097770921,-190.72949016875157,-99.37050181460123,-15.104654699422248,-794.9640145168098,-120.83723759537799,-79496,-12083
16,80.0,56.662582214248864,-190.13400059784252,-99.63052061441753,-14.915972304103548,-797.0441649153403,-119.32777843282838,-79704,-11932
17,85.0,56.236919369513494,-189.54283858034555,-99.89877348455418,-14.73683951202108,-799.1901878764335,-117.89471609616864,-79919,-11789
18,90.0,55.78658915329509,-188.95626341945967,-100.17517718536922,-14.567474812894021,-801.4014174829538,-116.53979850315217,-80140,-11653
19,95.0,55.31178909531003,-188.3745324064369,-100.45964681807645,-14.408097287240572,-803.6771745446116,-115.26477829792458,-80367,-11526
20,100.0,54.812727458556054,-187.797900707726,-100.75209582077949,-14.25892628968054,-806.0167665662359,-114.07141031744432,-80601,-11407
21,105.0,54.28962314796117,-187.22662125304782,-101.05243595585557,-14.120181109545303,-808.4194876468446,-112.96144887636243,-80841,-11296
22,110.0,53.74270561436477,-186.66094462445218,-101.36057728863985,-13.992080608341414,-810.8846183091188,-111.93664486673131,-81088,-11193
23,115.0,53.172214753872886,-186.10111894640414,-101.6764281573762,-13.874842833695062,-813.4114252590095,-110.9987426695605,-81341,-11099
24,120.0,52.57840080263181,-185.54738977694853,-101.99989513441638,-13.768684609502575,-815.999161075331,-110.1494768760206,-81599,-11014
25,125.0,51.96152422706631,-185.0,-102.33088297866374,-13.673821102120549,-818.6470638293099,-109.39056881696439,-81864,-10939
26,130.0,51.321855609630404,-184.4591897188061,-102.66929457927326,-13.59046536255502,-821.354356634186,-108.72372290044017,-82135,-10872
27,135.0,50.65967553012091,-183.9251961506301,-103.01503089063442,-13.518827844750064,-824.1202471250754,-108.15062275800051,-82412,-10815
28,140.0,49.975274442605965,-183.3982535226997,-103.3679908586809,-13.459115900230083,-826.9439268694472,-107.67292720184066,-82694,-10767
29,145.0,49.26895254802224,-182.87859296946706,-103.7280713385873,-13.411533249524226,-829.8245707086984,-107.2922659961938,-82982,-10729
30,150.0,48.54101966249685,-182.3664424312258,-104.09516700393327,-13.376279430987097,-832.7613360314662,-107.01023544789678,-83276,-10701
31,155.0,47.791795081451774,-181.86202655412876,-104.46917024743497,-13.353549227833547,-835.7533619794798,-106.82839382266837,-83575,-10682
32,160.0,47.021607439550394,-181.3655665916507,-104.84997107336903,-13.343532074423404,-838.7997685869523,-106.74825659538723,-83879,-10674
33,165.0,46.23079456654735,-180.8772803075393,-105.2374569818383,-13.346411443064163,-841.8996558547065,-106.7712915445133,-84189,-10677
34,170.0,45.41970333910538,-180.39738188029685,-105.63151284506013,-13.362364212843929,-845.052102760481,-106.89891370275143,-84505,-10689
35,175.0,44.58868952864366,-179.92608180923426,-106.03202077588999,-13.391560022263748,-848.2561662071199,-107.13248017810999,-84825,-10713
36,180.0,43.738117645284696,-179.46358682213935,-106.43885998883101,-13.434160607704253,-851.5108799106481,-107.47328486163403,-85151,-10747
37,185.0,42.8683607779682,-179.01009978459905,-106.85190665382265,-13.490319130033193,-854.8152532305812,-107.92255304026554,-85481,-10792
38,190.0,41.97980043080193,-178.5658196110159,-107.27103374314827,-13.560179491938792,-858.1682699451861,-108.48143593551033,-85816,-10848
39,195.0,41.072826355721325,-178.13094117735767,-107.69611087185487,-13.643875648850711,-861.568886974839,-109.15100519080569,-86156,-10915
40,200.0,40.14783638153149,-177.70565523567817,-108.12700413213571,-13.741530916586452,-865.0160330570857,-109.93224733269162,-86501,-10993
41,205.0,39.20523623940633,-177.29014833044732,-108.56357592219216,-13.853257279130425,-868.5086073775373,-110.8260582330434,-86850,-11082
42,210.0,38.24543938492138,-176.88460271672633,-109.00568477016053,-13.97915470021108,-872.0454781612842,-111.83323760168864,-87204,-11183
43,215.0,37.268866816698626,-176.4891962802248,-109.4531851537674,-14.119310442584736,-875.6254812301391,-112.95448354067788,-87562,-11295
44,220.0,36.27594689174251,-176.10410245927412,-109.90592731645982,-14.273798399157613,-879.2474185316786,-114.1903871932609,-87924,-11419
45,225.0,35.26711513754839,-175.72949016875157,-110.36375708084482,-14.442678440275879,-882.9100566467586,-115.54142752220703,-88291,-11554
46,230.0,34.24281406106591,-175.36552372598888,-110.82651566036819,-14.625995781680643,-886.6121252829455,-117.00796625344515,-88661,-11700
47,235.0,33.20349295460065,-175.01236277869702,-111.29403947026142,-14.82378037775719,-890.3523157620914,-118.59024302205752,-89035,-11859
48,240.0,32.14960769873979,-174.67016223493954,-111.76615993888878,-15.036046344799926,-894.1292795111102,-120.28837075839941,-89412,-12028
49,245.0,31.08162056238782,-174.3390721951848,-112.2427033207339,-15.26279141906132,-897.9416265658712,-122.10233135249057,-89794,-12210
50,250.0,29.999999999999993,-174.01923788646684,-112.72349051237381,-15.503996454351011,-901.7879240989905,-124.03197163480809,-90178,-12403
51,255.0,28.90522044610292,-173.7107995986841,-113.20833687289719,-15.759624963895316,-905.6666949831775,-126.07699971116253,-90566,-12607
52,260.0,27.79776210719171,-173.41389262306356,-113.69705205033192,-16.02962271105739,-909.5764164026554,-128.2369816884591,-90957,-12823
53,265.0,26.67811075109565,-173.12864719281762,-114.18943981575237,-16.313917353345992,-913.5155185260189,-130.51133882676794,-91351,-13051
54,270.0,25.54675749390436,-172.85518842601942,-114.68529790683583,-16.612418143912834,-917.4823832546866,-132.89934515130267,-91748,-13289
55,275.0,24.404198584548013,-172.59363627072196,-115.18441788273097,-16.925015694446476,-921.4753430618478,-135.4001255555718,-92147,-13540
56,280.0,23.250935187126174,-172.344105452345,-115.68658499218277,-17.251581803021228,-925.4926799374622,-138.01265442416982,-92549,-13801
57,285.0,22.087473161080684,-172.10670542335245,-116.1915780569291,-17.59196935005047,-929.5326244554328,-140.73575480040375,-92953,-14073
58,290.0,20.914322839308916,-171.88154031524326,-116.69916937243846,-17.946012265031467,-933.5933549795077,-143.56809812025173,-93359,-14356
59,295.0,19.731998804314998,-171.66870889287557,-117.20912462809659,-18.31352556625285,-937.6729970247727,-146.5082045300228,-93767,-14650
60,300.0,18.541019662496847,-171.4683045111454,-117.72120284896566,-18.694305475078576,-941.7696227917253,-149.5544438006286,-94176,-14955
61,305.0,17.341907816668297,-171.280415074038,-118.23515636123443,-19.088129605821972,-945.8812508898754,-152.70503684657578,-94588,-15270
62,310.0,16.13518923691594,-171.10512299607026,-118.75073078344718,-19.494757231594306,-950.0058462675775,-155.95805785275445,-95000,-15595
63,315.0,14.921393229891285,-170.94250516614107,-119.2676650455409,-19.913929625860163,-954.1413203643272,-159.3114370068813,-95414,-15931
64,320.0,13.701052206639353,-170.7926329138052,-119.78569143763411,-20.345370478764963,-958.2855315010729,-162.7629638301197,-95828,-16276
65,325.0,12.474701449065567,-170.65557197798583,-120.30453569039396,-20.78878638662989,-962.4362855231517,-166.31029109303913,-96243,-16631
66,330.0,11.242878875143484,-170.53138247813934,-120.82391708866112,-21.243867412345303,-966.591336709289,-169.95093929876242,-96659,-16995
67,335.0,10.00612480296614,-170.42011888788485,-121.3435486198339,-21.710287713746496,-970.7483889586712,-173.68230170997197,-97074,-17368
68,340.0,8.7649817137447,-170.32183001111036,-121.86313715830418,-22.187706236433,-974.9050972664335,-177.501649891464,-97490,-17750
69,345.0,7.5199940138582555,-170.23655896056567,-122.382383686999,-22.675767466909456,-979.059069495992,-181.40613973527564,-97905,-18140
70,350.0,6.2717077960592205,-170.1643431389518,-122.90098355681523,-23.174102241384027,-983.2078684545219,-185.39281793107222,-98320,-18539
71,355.0,5.020670599938926,-170.10521422251486,-123.41862678444264,-23.682328605076325,-987.3490142755411,-189.4586288406106,-98734,-18945
72,360.0,3.767431171758812,-170.05919814715185,-123.93499838875377,-24.20005271645981,-991.4799871100302,-193.60042173167847,-99147,-19360
73,365.0,2.512539223751985,-170.02631509703426,-124.44977876560621,-24.726869790507745,-995.5982301248497,-197.81495832406196,-99559,-19781
74,370.0,1.256545193001423,-170.00657949575464,-124.96264410054923,-25.26236507472405,-999.7011528043938,-202.0989205977924,-99970,-20209
75,375.0,3.67394039744206e-15,-170.0,-125.47326681856772,-25.80611485153238,-1003.7861345485418,-206.44891881225905,-100378,-20644
76,380.0,-1.2565451930014022,-170.00657949575464,-125.98131606962637,-26.357687460462387,-1007.850528557011,-210.8614996836991,-100785,-21086
77,385.0,-2.5125392237519772,-170.02631509703426,-126.48645824840922,-26.916644333519457,-1011.8916659872738,-215.33315466815566,-101189,-21533
78,390.0,-3.767431171758791,-170.05919814715185,-126.988357546284,-27.482541037146007,-1015.906860370272,-219.86032829716805,-101590,-21986
79,395.0,-5.020670599938932,-170.10521422251486,-127.48667653316757,-28.05492831428201,-1019.8934122653405,-224.43942651425607,-101989,-22443
80,400.0,-6.2717077960592,-170.1643431389518,-127.98107676662796,-28.633353120199278,-1023.8486141330237,-229.06682496159422,-102384,-22906
81,405.0,-7.519994013858248,-170.23655896056567,-128.47121942524157,-29.217359646023272,-1027.7697554019326,-233.73887716818618,-102776,-23373
82,410.0,-8.764981713744678,-170.32183001111036,-128.95676596293083,-29.806490324150097,-1031.6541277034466,-238.45192259320078,-103165,-23845
83,415.0,-10.006124802966147,-170.42011888788485,-129.43737878074677,-30.400286810118992,-1035.4990302459742,-243.20229448095193,-103549,-24320
84,420.0,-11.242878875143475,-170.53138247813934,-129.91272191233426,-30.99829093589782,-1039.301775298674,-247.98632748718256,-103930,-24798
85,425.0,-12.474701449065561,-170.65557197798583,-130.38246171912937,-31.600045629976396,-1043.059693753035,-252.80036503981117,-104305,-25280
86,430.0,-13.701052206639334,-170.7926329138052,-130.8462675911941,-32.20509580012947,-1046.7701407295528,-257.64076640103576,-104677,-25764
87,435.0,-14.921393229891278,-170.94250516614107,-131.30381264949074,-32.8129891752034,-1050.430501195926,-262.5039134016272,-105043,-26250
88,440.0,-16.135189236915924,-171.10512299607026,-131.75477444534374,-33.42327710278532,-1054.03819556275,-267.38621682228256,-105403,-26738
89,445.0,-17.341907816668304,-171.280415074038,-132.198835652828,-34.03551530012666,-1057.590685222624,-272.2841224010133,-105759,-27228
90,450.0,-18.54101966249684,-171.4683045111454,-132.63568474986135,-34.649264556205736,-1061.0854779988908,-277.1941164496459,-106108,-27719
91,455.0,-19.73199880431499,-171.66870889287557,-133.0650166838632,-35.264091383319595,-1064.5201334709056,-282.11273106655676,-106452,-28211
92,460.0,-20.914322839308902,-171.88154031524326,-133.48653351797074,-35.87956861708641,-1067.892268143766,-287.0365489366913,-106789,-28703
